book_name,author(s),publisher,language,#pages,best_seller_rank,customer_reviews,total_ratings,url,paperback_price($)
"Designing Data-Intensive Applications: The Big Ideas Behind Reliable, Scalable, and Maintainable Systems",Martin Kleppmann,O'Reilly Media,,611,2598,['4.8'],"['3,865']",https://www.amazon.com/Designing-Data-Intensive-Applications-Reliable-Maintainable/dp/1449373321/ref=sr_1_1?crid=2YD904R136ZW3&keywords=data+science+books&qid=1687786341&refinements=p_n_feature_browse-bin%3A2656022011&rnid=618072011&s=books&sprefix=data+science+books%2Caps%2C421&sr=1-1,32.86
"Ace the Data Science Interview: 201 Real Interview Questions Asked By FAANG, Tech Startups, & Wall Street","Kevin Huo,Nick Singh",Ace the Data Science Interview,,301,6795,['4.5'],['818'],https://www.amazon.com/Ace-Data-Science-Interview-Questions/dp/0578973839/ref=sr_1_2?crid=2YD904R136ZW3&keywords=data+science+books&qid=1687786341&refinements=p_n_feature_browse-bin%3A2656022011&rnid=618072011&s=books&sprefix=data+science+books%2Caps%2C421&sr=1-2,36.35
Fundamentals of Data Engineering: Plan and Build Robust Data Systems,"Joe Reis,Matt Housley",O'Reilly Media,,446,10052,['4.7'],['251'],https://www.amazon.com/Fundamentals-Data-Engineering-Robust-Systems/dp/1098108302/ref=sr_1_3?crid=2YD904R136ZW3&keywords=data+science+books&qid=1687786341&refinements=p_n_feature_browse-bin%3A2656022011&rnid=618072011&s=books&sprefix=data+science+books%2Caps%2C421&sr=1-3,43.99
"Python for Data Analysis: Data Wrangling with pandas, NumPy, and Jupyter",Wes McKinney,O'Reilly Media,,579,11945,['4.5'],['134'],https://www.amazon.com/Python-Data-Analysis-Wrangling-Jupyter/dp/109810403X/ref=sr_1_4?crid=2YD904R136ZW3&keywords=data+science+books&qid=1687786341&refinements=p_n_feature_browse-bin%3A2656022011&rnid=618072011&s=books&sprefix=data+science+books%2Caps%2C421&sr=1-4,38.10
Practical Statistics for Data Scientists: 50+ Essential Concepts Using R and Python,Peter Gedeck,O'Reilly Media,,360,19402,['4.6'],['710'],https://www.amazon.com/Practical-Statistics-Data-Scientists-Essential/dp/149207294X/ref=sr_1_5?crid=2YD904R136ZW3&keywords=data+science+books&qid=1687786341&refinements=p_n_feature_browse-bin%3A2656022011&rnid=618072011&s=books&sprefix=data+science+books%2Caps%2C421&sr=1-5,38.49
"Essential Math for Data Science: Take Control of Your Data with Fundamental Linear Algebra, Probability, and Statistics",Thomas Nield,O'Reilly Media,,347,22693,['4.6'],['140'],https://www.amazon.com/Essential-Math-Data-Science-Fundamental/dp/1098102932/ref=sr_1_6?crid=2YD904R136ZW3&keywords=data+science+books&qid=1687786341&refinements=p_n_feature_browse-bin%3A2656022011&rnid=618072011&s=books&sprefix=data+science+books%2Caps%2C421&sr=1-6,30.82
Data Science for Business: What You Need to Know about Data Mining and Data-Analytic Thinking,"Foster Provost,Tom Fawcett",O'Reilly Media,,413,13748,['4.5'],"['1,207']",https://www.amazon.com/Data-Science-Business-Data-Analytic-Thinking/dp/1449361323/ref=sr_1_7?crid=2YD904R136ZW3&keywords=data+science+books&qid=1687786341&refinements=p_n_feature_browse-bin%3A2656022011&rnid=618072011&s=books&sprefix=data+science+books%2Caps%2C421&sr=1-7,35.68
"R for Data Science: Import, Tidy, Transform, Visualize, and Model Data","Garrett Grolemund,Hadley Wickham",O'Reilly Media,,518,24625,['4.7'],"['1,556']",https://www.amazon.com/Data-Science-Transform-Visualize-Model/dp/1491910399/ref=sr_1_8?crid=2YD904R136ZW3&keywords=data+science+books&qid=1687786341&refinements=p_n_feature_browse-bin%3A2656022011&rnid=618072011&s=books&sprefix=data+science+books%2Caps%2C421&sr=1-8,52.24
"Better Data Visualizations: A Guide for Scholars, Researchers, and Wonks",Jonathan Schwabish,Columbia University Press,,464,31941,['4.5'],['295'],https://www.amazon.com/Better-Data-Visualizations-Scholars-Researchers/dp/0231193114/ref=sr_1_9?crid=2YD904R136ZW3&keywords=data+science+books&qid=1687786341&refinements=p_n_feature_browse-bin%3A2656022011&rnid=618072011&s=books&sprefix=data+science+books%2Caps%2C421&sr=1-9,26.06
"Becoming a Data Head: How to Think, Speak, and Understand Data Science, Statistics, and Machine Learning","Jordan Goldmeier,Alex J. Gutman",Wiley,,272,26450,['4.6'],['268'],https://www.amazon.com/Becoming-Data-Head-Understand-Statistics/dp/1119741742/ref=sr_1_10?crid=2YD904R136ZW3&keywords=data+science+books&qid=1687786341&refinements=p_n_feature_browse-bin%3A2656022011&rnid=618072011&s=books&sprefix=data+science+books%2Caps%2C421&sr=1-10,24.49
Storytelling with Data: Let's Practice!,Cole Nussbaumer Knaflic,Wiley,,448,25258,['4.7'],['623'],https://www.amazon.com/Storytelling-Data-Cole-Nussbaumer-Knaflic/dp/1119621496/ref=sr_1_11?crid=2YD904R136ZW3&keywords=data+science+books&qid=1687786341&refinements=p_n_feature_browse-bin%3A2656022011&rnid=618072011&s=books&sprefix=data+science+books%2Caps%2C421&sr=1-11,38.26
The AI Product Manager's Handbook: Develop a product that takes advantage of machine learning to solve AI problems,Irene Bratsis,Packt Publishing,,250,26308,['4.7'],['16'],https://www.amazon.com/AI-Product-Managers-Handbook-advantage/dp/1804612936/ref=sr_1_12?crid=2YD904R136ZW3&keywords=data+science+books&qid=1687786341&refinements=p_n_feature_browse-bin%3A2656022011&rnid=618072011&s=books&sprefix=data+science+books%2Caps%2C421&sr=1-12,40.49
"Everybody Lies: Big Data, New Data, and What the Internet Can Tell Us About Who We Really Are",Seth Stephens-Davidowitz,Dey Street Books,,352,36253,['4.4'],"['5,947']",https://www.amazon.com/Everybody-Lies-Internet-About-Really/dp/0062390864/ref=sr_1_13?crid=2YD904R136ZW3&keywords=data+science+books&qid=1687786341&refinements=p_n_feature_browse-bin%3A2656022011&rnid=618072011&s=books&sprefix=data+science+books%2Caps%2C421&sr=1-13,13.69
SQL for Data Analysis: Advanced Techniques for Transforming Data into Insights,Cathy Tanimura,O'Reilly Media,,357,53548,['4.7'],['97'],https://www.amazon.com/SQL-Data-Analysis-Techniques-Transforming/dp/1492088781/ref=sr_1_14?crid=2YD904R136ZW3&keywords=data+science+books&qid=1687786341&refinements=p_n_feature_browse-bin%3A2656022011&rnid=618072011&s=books&sprefix=data+science+books%2Caps%2C421&sr=1-14,40.49
"Data Analytics, Data Visualization & Communicating Data: 3 books in 1: Learn the Processes of Data Analytics and Data Science, Create Engaging Data Visualizations, and Present Data Effectively",Elizabeth Clarke,Kenneth M Fornari,,528,59405,['4.6'],['56'],https://www.amazon.com/Data-Analytics-Visualization-Communicating-Effectively/dp/1777967198/ref=sr_1_15?crid=2YD904R136ZW3&keywords=data+science+books&qid=1687786341&refinements=p_n_feature_browse-bin%3A2656022011&rnid=618072011&s=books&sprefix=data+science+books%2Caps%2C421&sr=1-15,33.24
"Data Visualization in Excel: A Guide for Beginners, Intermediates, and Wonks (AK Peters Visualization Series)",Jonathan Schwabish,A K Peters/CRC Press,,384,45911,['5.0'],['3'],https://www.amazon.com/Data-Visualization-Excel-Beginners-Intermediates/dp/1032343265/ref=sr_1_16?crid=2YD904R136ZW3&keywords=data+science+books&qid=1687786341&refinements=p_n_feature_browse-bin%3A2656022011&rnid=618072011&s=books&sprefix=data+science+books%2Caps%2C421&sr=1-16,33.20
Data Pipelines Pocket Reference: Moving and Processing Data for Analytics,James Densmore,O'Reilly Media,,274,48182,['4.5'],['279'],https://www.amazon.com/Data-Pipelines-Pocket-Reference-Processing/dp/1492087831/ref=sr_1_17?crid=2YD904R136ZW3&keywords=data+science+books&qid=1687786341&refinements=p_n_feature_browse-bin%3A2656022011&rnid=618072011&s=books&sprefix=data+science+books%2Caps%2C421&sr=1-17,17.29
Data Science from Scratch: First Principles with Python,Joel Grus,O'Reilly Media,,403,69681,['4.4'],['626'],https://www.amazon.com/Data-Science-Scratch-Principles-Python/dp/1492041130/ref=sr_1_18?crid=2YD904R136ZW3&keywords=data+science+books&qid=1687786341&refinements=p_n_feature_browse-bin%3A2656022011&rnid=618072011&s=books&sprefix=data+science+books%2Caps%2C421&sr=1-18,52.18
Practical Linear Algebra for Data Science: From Core Concepts to Applications Using Python,Mike X. Cohen,O'Reilly Media,,326,56470,['4.5'],['30'],https://www.amazon.com/Practical-Linear-Algebra-Data-Science/dp/1098120612/ref=sr_1_19?crid=2YD904R136ZW3&keywords=data+science+books&qid=1687786341&refinements=p_n_feature_browse-bin%3A2656022011&rnid=618072011&s=books&sprefix=data+science+books%2Caps%2C421&sr=1-19,53.99
"Data Science on AWS: Implementing End-to-End, Continuous AI and Machine Learning Pipelines","Antje Barth,Chris Fregly",O'Reilly Media,,521,47680,['4.5'],['177'],https://www.amazon.com/Data-Science-AWS-End-End/dp/1492079391/ref=sr_1_20?crid=2YD904R136ZW3&keywords=data+science+books&qid=1687786341&refinements=p_n_feature_browse-bin%3A2656022011&rnid=618072011&s=books&sprefix=data+science+books%2Caps%2C421&sr=1-20,11.07
Data Science (The MIT Press Essential Knowledge series),"Brendan Tierney,John D. Kelleher",The MIT Press,,280,69563,['4.4'],['503'],https://www.amazon.com/Data-Science-Press-Essential-Knowledge/dp/0262535432/ref=sr_1_21?crid=2YD904R136ZW3&keywords=data+science+books&qid=1687786341&refinements=p_n_feature_browse-bin%3A2656022011&rnid=618072011&s=books&sprefix=data+science+books%2Caps%2C421&sr=1-21,9.69
"Learning Tableau 2022: Create effective data visualizations, build interactive visual analytics, and improve your data storytelling capabilities, 5th Edition",Joshua N. Milligan,Packt Publishing,,568,80300,['4.6'],['48'],https://www.amazon.com/Learning-Tableau-2022-visualizations-storytelling/dp/1801072329/ref=sr_1_22?crid=2YD904R136ZW3&keywords=data+science+books&qid=1687786341&refinements=p_n_feature_browse-bin%3A2656022011&rnid=618072011&s=books&sprefix=data+science+books%2Caps%2C421&sr=1-22,43.25
Data Quality Fundamentals: A Practitioner's Guide to Building Trustworthy Data Pipelines,Molly Vorwerck,O'Reilly Media,,308,81820,['4.4'],['18'],https://www.amazon.com/Data-Quality-Fundamentals-Practitioners-Trustworthy/dp/1098112040/ref=sr_1_23?crid=2YD904R136ZW3&keywords=data+science+books&qid=1687786341&refinements=p_n_feature_browse-bin%3A2656022011&rnid=618072011&s=books&sprefix=data+science+books%2Caps%2C421&sr=1-23,51.99
Pattern Recognition and Machine Learning (Information Science and Statistics),Christopher M. Bishop,Self Publication,,Null,54237,['4.3'],['113'],https://www.amazon.com/Pattern-Recognition-Learning-Information-Statistics/dp/1493938436/ref=sr_1_24?crid=2YD904R136ZW3&keywords=data+science+books&qid=1687786341&refinements=p_n_feature_browse-bin%3A2656022011&rnid=618072011&s=books&sprefix=data+science+books%2Caps%2C421&sr=1-24,58.38
"Data Analytics, Data Visualization & Communicating Data: 3 books in 1: Learn the Processes of Data Analytics and Data Science, Create Engaging Data Visualizations, and Present Data Effectively",Elizabeth Clarke,Kenneth M Fornari,,528,59405,['4.6'],['56'],https://www.amazon.com/sspa/click?ie=UTF8&spc=MToxODk4ODMzNjc3Mzc2ODg4OjE2ODc3ODYzNDE6c3BfYnRmOjIwMDExNzY4MTY2ODc5ODo6MDo6&url=%2FData-Analytics-Visualization-Communicating-Effectively%2Fdp%2F1777967198%2Fref%3Dsr_1_25_sspa%3Fcrid%3D2YD904R136ZW3%26keywords%3Ddata%2Bscience%2Bbooks%26qid%3D1687786341%26refinements%3Dp_n_feature_browse-bin%253A2656022011%26rnid%3D618072011%26s%3Dbooks%26sprefix%3Ddata%2Bscience%2Bbooks%252Caps%252C421%26sr%3D1-25-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,33.24
"Ace the Data Science Interview: 201 Real Interview Questions Asked By FAANG, Tech Startups, & Wall Street","Kevin Huo,Nick Singh",Ace the Data Science Interview,,301,6795,['4.5'],['818'],https://www.amazon.com/sspa/click?ie=UTF8&spc=MToxODk4ODMzNjc3Mzc2ODg4OjE2ODc3ODYzNDE6c3BfYnRmOjIwMDA4NDI1ODM4MDI1MTo6MDo6&url=%2FAce-Data-Science-Interview-Questions%2Fdp%2F0578973839%2Fref%3Dsr_1_26_sspa%3Fcrid%3D2YD904R136ZW3%26keywords%3Ddata%2Bscience%2Bbooks%26qid%3D1687786341%26refinements%3Dp_n_feature_browse-bin%253A2656022011%26rnid%3D618072011%26s%3Dbooks%26sprefix%3Ddata%2Bscience%2Bbooks%252Caps%252C421%26sr%3D1-26-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,36.35
Data Mesh in Action,Marian Siwiak,Manning,,328,1119805,['4.1'],['5'],https://www.amazon.com/sspa/click?ie=UTF8&spc=MToxODk4ODMzNjc3Mzc2ODg4OjE2ODc3ODYzNDE6c3BfYnRmOjIwMDE1Mzc0OTg5MDk5ODo6MDo6&url=%2FData-Mesh-Action-Jacek-Majchrzak%2Fdp%2F1633439976%2Fref%3Dsr_1_27_sspa%3Fcrid%3D2YD904R136ZW3%26keywords%3Ddata%2Bscience%2Bbooks%26qid%3D1687786341%26refinements%3Dp_n_feature_browse-bin%253A2656022011%26rnid%3D618072011%26s%3Dbooks%26sprefix%3Ddata%2Bscience%2Bbooks%252Caps%252C421%26sr%3D1-27-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,57.99
Python Data Science Handbook: Essential Tools for Working with Data,Jake VanderPlas,O'Reilly Media,,588,82368,['3.8'],['12'],https://www.amazon.com/Python-Data-Science-Handbook-Essential/dp/1098121228/ref=sr_1_25?crid=2YD904R136ZW3&keywords=data+science+books&qid=1687787085&refinements=p_n_feature_browse-bin%3A2656022011&rnid=618072011&s=books&sprefix=data+science+books%2Caps%2C421&sr=1-25,56.99
"Statistics for Absolute Beginners (Second Edition) (AI, Data Science, Python & Statistics for Beginners)",Oliver Theobald,Self Publication,,Null,Null,['4.4'],['171'],https://www.amazon.com/Statistics-Absolute-Beginners-Second-Theobald/dp/B08BDZ2DCF/ref=sr_1_26?crid=2YD904R136ZW3&keywords=data+science+books&qid=1687787085&refinements=p_n_feature_browse-bin%3A2656022011&rnid=618072011&s=books&sprefix=data+science+books%2Caps%2C421&sr=1-26,14.80
The Self-Taught Computer Scientist: The Beginner's Guide to Data Structures & Algorithms,Cory Althoff,Wiley,,224,121427,['4.5'],['116'],https://www.amazon.com/Self-Taught-Computer-Scientist-Beginners-Science/dp/1119724414/ref=sr_1_27?crid=2YD904R136ZW3&keywords=data+science+books&qid=1687787085&refinements=p_n_feature_browse-bin%3A2656022011&rnid=618072011&s=books&sprefix=data+science+books%2Caps%2C421&sr=1-27,19.49
Fundamentals of Data Visualization: A Primer on Making Informative and Compelling Figures,Claus O. Wilke,O'Reilly Media,,387,109203,['4.6'],['213'],https://www.amazon.com/Fundamentals-Data-Visualization-Informative-Compelling/dp/1492031089/ref=sr_1_28?crid=2YD904R136ZW3&keywords=data+science+books&qid=1687787085&refinements=p_n_feature_browse-bin%3A2656022011&rnid=618072011&s=books&sprefix=data+science+books%2Caps%2C421&sr=1-28,48.52
Spark: The Definitive Guide: Big Data Processing Made Simple,Bill Chambers,O'Reilly Media,,603,74022,['4.5'],['405'],https://www.amazon.com/Spark-Definitive-Guide-Processing-Simple/dp/1491912219/ref=sr_1_29?crid=2YD904R136ZW3&keywords=data+science+books&qid=1687787085&refinements=p_n_feature_browse-bin%3A2656022011&rnid=618072011&s=books&sprefix=data+science+books%2Caps%2C421&sr=1-29,43.12
Data Science For Dummies (For Dummies (Computer/Tech)),Lillian Pierson,For Dummies,,432,89661,['4.5'],['58'],https://www.amazon.com/Data-Science-Dummies-Lillian-Pierson/dp/1119811554/ref=sr_1_30?crid=2YD904R136ZW3&keywords=data+science+books&qid=1687787085&refinements=p_n_feature_browse-bin%3A2656022011&rnid=618072011&s=books&sprefix=data+science+books%2Caps%2C421&sr=1-30,25.49
"R Cookbook: Proven Recipes for Data Analysis, Statistics, and Graphics",JD Long,O'Reilly Media,,598,98062,['4.6'],['116'],https://www.amazon.com/Cookbook-Recipes-Analysis-Statistics-Graphics/dp/1492040681/ref=sr_1_31?crid=2YD904R136ZW3&keywords=data+science+books&qid=1687787085&refinements=p_n_feature_browse-bin%3A2656022011&rnid=618072011&s=books&sprefix=data+science+books%2Caps%2C421&sr=1-31,78.38
Python Data Science Handbook: Essential Tools for Working with Data,Jake VanderPlas,O'Reilly Media,,546,124184,['4.6'],['589'],https://www.amazon.com/Python-Data-Science-Handbook-Essential/dp/1491912057/ref=sr_1_32?crid=2YD904R136ZW3&keywords=data+science+books&qid=1687787085&refinements=p_n_feature_browse-bin%3A2656022011&rnid=618072011&s=books&sprefix=data+science+books%2Caps%2C421&sr=1-32,23.45
"Data Governance: The Definitive Guide: People, Processes, and Tools to Operationalize Data Trustworthiness","Uri Gilad,Evren Eryurek,,",O'Reilly Media,,251,98547,['4.3'],['69'],https://www.amazon.com/Data-Governance-Definitive-Operationalize-Trustworthiness/dp/1492063495/ref=sr_1_33?crid=2YD904R136ZW3&keywords=data+science+books&qid=1687787085&refinements=p_n_feature_browse-bin%3A2656022011&rnid=618072011&s=books&sprefix=data+science+books%2Caps%2C421&sr=1-33,46.99
SQL Cookbook: Query Solutions and Techniques for All SQL Users,Robert de Graaf,O'Reilly Media,,567,131432,['4.6'],['153'],https://www.amazon.com/SQL-Cookbook-Query-Solutions-Techniques/dp/1492077445/ref=sr_1_34?crid=2YD904R136ZW3&keywords=data+science+books&qid=1687787085&refinements=p_n_feature_browse-bin%3A2656022011&rnid=618072011&s=books&sprefix=data+science+books%2Caps%2C421&sr=1-34,59.99
Data Structures the Fun Way: An Amusing Adventure with Coffee-Filled Examples,Jeremy Kubica,No Starch Press,,304,142705,['4.7'],['7'],https://www.amazon.com/Data-Structures-Fun-Way-Coffee-Filled/dp/1718502605/ref=sr_1_35?crid=2YD904R136ZW3&keywords=data+science+books&qid=1687787085&refinements=p_n_feature_browse-bin%3A2656022011&rnid=618072011&s=books&sprefix=data+science+books%2Caps%2C421&sr=1-35,37.99
Data Science on the Google Cloud Platform: Implementing End-to-End Real-Time Data Pipelines: From Ingest to Machine Learning,Valliappa Lakshmanan,O'Reilly Media,,459,142833,['4.7'],['17'],https://www.amazon.com/Data-Science-Google-Cloud-Platform/dp/1098118952/ref=sr_1_36?crid=2YD904R136ZW3&keywords=data+science+books&qid=1687787085&refinements=p_n_feature_browse-bin%3A2656022011&rnid=618072011&s=books&sprefix=data+science+books%2Caps%2C421&sr=1-36,58.99
"Machine Learning For Absolute Beginners: A Plain English Introduction (AI, Data Science, Python & Statistics for Beginners)","Oliver Theobald,O Theobald",Independently published,,165,110103,['4.4'],"['1,492']",https://www.amazon.com/Machine-Learning-Absolute-Beginners-Introduction/dp/1549617214/ref=sr_1_37?crid=2YD904R136ZW3&keywords=data+science+books&qid=1687787085&refinements=p_n_feature_browse-bin%3A2656022011&rnid=618072011&s=books&sprefix=data+science+books%2Caps%2C421&sr=1-37,16.90
"Data Analytics for Absolute Beginners: A Deconstructed Guide to Data Literacy: (Introduction to Data, Data Visualization, Business Intelligence & ... Science, Python & Statistics for Beginners)",Oliver Theobald,Independently published,,155,97267,['4.4'],['379'],https://www.amazon.com/Data-Analytics-Absolute-Beginners-Deconstructed/dp/1081762462/ref=sr_1_38?crid=2YD904R136ZW3&keywords=data+science+books&qid=1687787085&refinements=p_n_feature_browse-bin%3A2656022011&rnid=618072011&s=books&sprefix=data+science+books%2Caps%2C421&sr=1-38,14.80
Data Engineering with AWS: Learn how to design and build cloud-based data transformation pipelines using AWS,Gareth Eagar,Packt Publishing,,482,170973,['4.4'],['80'],https://www.amazon.com/Data-Engineering-AWS-Gareth-Eagar/dp/1800560419/ref=sr_1_39?crid=2YD904R136ZW3&keywords=data+science+books&qid=1687787085&refinements=p_n_feature_browse-bin%3A2656022011&rnid=618072011&s=books&sprefix=data+science+books%2Caps%2C421&sr=1-39,49.49
Doing Data Science: Straight Talk from the Frontline,"Cathy O'Neil,Rachel Schutt",O'Reilly Media,,408,70401,['4.4'],['216'],https://www.amazon.com/Doing-Data-Science-Straight-Frontline/dp/1449358659/ref=sr_1_40?crid=2YD904R136ZW3&keywords=data+science+books&qid=1687787085&refinements=p_n_feature_browse-bin%3A2656022011&rnid=618072011&s=books&sprefix=data+science+books%2Caps%2C421&sr=1-40,26.62
The Kaggle Workbook: Self-learning exercises and valuable insights for Kaggle data science competitions,"Luca Massaron,Konrad Banachewicz",Packt Publishing,,172,109797,['4.5'],['31'],https://www.amazon.com/Kaggle-Workbook-Self-learning-exercises-competitions/dp/1804611212/ref=sr_1_41?crid=2YD904R136ZW3&keywords=data+science+books&qid=1687787085&refinements=p_n_feature_browse-bin%3A2656022011&rnid=618072011&s=books&sprefix=data+science+books%2Caps%2C421&sr=1-41,24.99
Thinking Clearly with Data: A Guide to Quantitative Reasoning and Analysis,"Ethan Bueno de Mesquita,Anthony Fowler",Princeton University Press,,400,190781,['4.4'],['48'],https://www.amazon.com/Thinking-Clearly-Data-Quantitative-Reasoning/dp/0691214352/ref=sr_1_42?crid=2YD904R136ZW3&keywords=data+science+books&qid=1687787085&refinements=p_n_feature_browse-bin%3A2656022011&rnid=618072011&s=books&sprefix=data+science+books%2Caps%2C421&sr=1-42,29.95
"R for Data Science: Import, Tidy, Transform, Visualize, and Model Data",Mine Çetinkaya-Rundel,O'Reilly Media,,576,Null,['0'],['0'],https://www.amazon.com/Data-Science-Transform-Visualize-Model/dp/1492097403/ref=sr_1_43?crid=2YD904R136ZW3&keywords=data+science+books&qid=1687787085&refinements=p_n_feature_browse-bin%3A2656022011&rnid=618072011&s=books&sprefix=data+science+books%2Caps%2C421&sr=1-43,69.99
"Intro to Python for Computer Science and Data Science: Learning to Program with AI, Big Data and The Cloud",P.J. Deitel,Pearson,,880,210058,['4.7'],['307'],https://www.amazon.com/Intro-Python-Computer-Science-Data/dp/0135404673/ref=sr_1_44?crid=2YD904R136ZW3&keywords=data+science+books&qid=1687787085&refinements=p_n_feature_browse-bin%3A2656022011&rnid=618072011&s=books&sprefix=data+science+books%2Caps%2C421&sr=1-44,85.32
Python for Data Science: A Hands-On Introduction,Yuli Vasiliev,No Starch Press,,240,229351,['4.4'],['18'],https://www.amazon.com/Python-Data-Science-Example-Vasiliev/dp/1718502206/ref=sr_1_45?crid=2YD904R136ZW3&keywords=data+science+books&qid=1687787085&refinements=p_n_feature_browse-bin%3A2656022011&rnid=618072011&s=books&sprefix=data+science+books%2Caps%2C421&sr=1-45,23.99
"The Science of Golf: The Math, Technology, and Data",Will Haskett,Skyhorse,,192,Null,['4.3'],['42'],https://www.amazon.com/Science-Golf-Math-Technology-Data/dp/1510771859/ref=sr_1_46?crid=2YD904R136ZW3&keywords=data+science+books&qid=1687787085&refinements=p_n_feature_browse-bin%3A2656022011&rnid=618072011&s=books&sprefix=data+science+books%2Caps%2C421&sr=1-46,12.69
Data Analysis for Social Science: A Friendly and Practical Introduction,Elena Llaudet,Princeton University Press,,256,209831,['4.8'],['15'],https://www.amazon.com/Data-Analysis-Social-Science-Introduction/dp/0691199434/ref=sr_1_47?crid=2YD904R136ZW3&keywords=data+science+books&qid=1687787085&refinements=p_n_feature_browse-bin%3A2656022011&rnid=618072011&s=books&sprefix=data+science+books%2Caps%2C421&sr=1-47,42.99
The Kaggle Book: Data analysis and machine learning for competitive data science,"Luca Massaron,Konrad Banachewicz",Packt Publishing,,534,247616,['4.4'],['121'],https://www.amazon.com/Data-Analysis-Machine-Learning-Kaggle/dp/1801817472/ref=sr_1_48?crid=2YD904R136ZW3&keywords=data+science+books&qid=1687787085&refinements=p_n_feature_browse-bin%3A2656022011&rnid=618072011&s=books&sprefix=data+science+books%2Caps%2C421&sr=1-48,29.72
"Better Data Visualizations: A Guide for Scholars, Researchers, and Wonks",Jonathan Schwabish,Columbia University Press,,464,31941,['4.5'],['295'],https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0NzA0OTA3ODU1OTA3NzgwOjE2ODc3ODcwODU6c3BfYnRmOjIwMDExMzM4MTYzMjA5ODo6MDo6&url=%2FBetter-Data-Visualizations-Scholars-Researchers%2Fdp%2F0231193114%2Fref%3Dsr_1_49_sspa%3Fcrid%3D2YD904R136ZW3%26keywords%3Ddata%2Bscience%2Bbooks%26qid%3D1687787085%26refinements%3Dp_n_feature_browse-bin%253A2656022011%26rnid%3D618072011%26s%3Dbooks%26sprefix%3Ddata%2Bscience%2Bbooks%252Caps%252C421%26sr%3D1-49-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,26.06
"Object Design Style Guide: Powerful techniques for creating flexible, readable, and maintainable object-oriented code in any OO language, from Python to PHP",Matthias Noback,Manning,,288,903035,['4.3'],['18'],https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0NzA0OTA3ODU1OTA3NzgwOjE2ODc3ODcwODU6c3BfYnRmOjIwMDE1Mzc2ODU3MzQ5ODo6MDo6&url=%2FObject-Design-Style-Matthias-Noback%2Fdp%2F1617296856%2Fref%3Dsr_1_50_sspa%3Fcrid%3D2YD904R136ZW3%26keywords%3Ddata%2Bscience%2Bbooks%26qid%3D1687787085%26refinements%3Dp_n_feature_browse-bin%253A2656022011%26rnid%3D618072011%26s%3Dbooks%26sprefix%3Ddata%2Bscience%2Bbooks%252Caps%252C421%26sr%3D1-50-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,35.99
Cloud Native Patterns: Designing change-tolerant software,Cornelia Davis,Manning,,400,630074,['4.3'],['44'],https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0NzA0OTA3ODU1OTA3NzgwOjE2ODc3ODcwODU6c3BfYnRmOjIwMDE1Mzc2ODU3MzE5ODo6MDo6&url=%2FCloud-Native-Designing-change-tolerant-software%2Fdp%2F1617294292%2Fref%3Dsr_1_51_sspa%3Fcrid%3D2YD904R136ZW3%26keywords%3Ddata%2Bscience%2Bbooks%26qid%3D1687787085%26refinements%3Dp_n_feature_browse-bin%253A2656022011%26rnid%3D618072011%26s%3Dbooks%26sprefix%3Ddata%2Bscience%2Bbooks%252Caps%252C421%26sr%3D1-51-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,49.99
Data Visualization: A Practical Introduction,Kieran Healy,Princeton University Press,,296,212303,['4.7'],['210'],https://www.amazon.com/Data-Visualization-Introduction-Kieran-Healy/dp/0691181624/ref=sr_1_49?crid=2YD904R136ZW3&keywords=data+science+books&qid=1687787301&refinements=p_n_feature_browse-bin%3A2656022011&rnid=618072011&s=books&sprefix=data+science+books%2Caps%2C421&sr=1-49,42.00
Learning MySQL: Get a Handle on Your Data,"Sergey Kuzmichev,Vinicius M. Grippa",O'Reilly Media,,629,183064,['4.4'],['36'],https://www.amazon.com/Learning-MySQL-Handle-Your-Data/dp/1492085928/ref=sr_1_50?crid=2YD904R136ZW3&keywords=data+science+books&qid=1687787301&refinements=p_n_feature_browse-bin%3A2656022011&rnid=618072011&s=books&sprefix=data+science+books%2Caps%2C421&sr=1-50,39.49
The Practitioner's Guide to Graph Data: Applying Graph Thinking and Graph Technologies to Solve Complex Problems,Denise Gosnell,O'Reilly Media,,417,128001,['4.5'],['75'],https://www.amazon.com/Practitioners-Guide-Graph-Data/dp/1492044075/ref=sr_1_51?crid=2YD904R136ZW3&keywords=data+science+books&qid=1687787301&refinements=p_n_feature_browse-bin%3A2656022011&rnid=618072011&s=books&sprefix=data+science+books%2Caps%2C421&sr=1-51,41.99
