book_name,author(s),publisher,language,#pages,best_seller_rank,customer_reviews,total_ratings,url,paperback_price($)
Technology and Society,Jan L. Harrington,Jones & Bartlett Learning,,296,Null,['4.0'],['15'],https://www.amazon.com/Technology-Society-Jan-L-Harrington/dp/0763750948/ref=sr_1_933?crid=2YD904R136ZW3&keywords=data+science+books&qid=1687798841&refinements=p_n_feature_browse-bin%3A2656022011&rnid=618072011&s=books&sprefix=data+science+books%2Caps%2C421&sr=1-933,61.18
Mastering Predictive Analytics with R - Second Edition: Machine learning techniques for advanced models,James D. Miller,Packt Publishing,,448,2655168,['3.9'],['10'],https://www.amazon.com/Mastering-Predictive-Analytics-R-Second/dp/1787121399/ref=sr_1_934?crid=2YD904R136ZW3&keywords=data+science+books&qid=1687798841&refinements=p_n_feature_browse-bin%3A2656022011&rnid=618072011&s=books&sprefix=data+science+books%2Caps%2C421&sr=1-934,51.99
Predictive Analytics with Microsoft Azure Machine Learning 2nd Edition,"Wee-Hyong Tok,Valentine Fontama,",Self Publication,,Null,2653267,['3.7'],['31'],https://www.amazon.com/Predictive-Analytics-Microsoft-Machine-Learning/dp/1484212010/ref=sr_1_935?crid=2YD904R136ZW3&keywords=data+science+books&qid=1687798841&refinements=p_n_feature_browse-bin%3A2656022011&rnid=618072011&s=books&sprefix=data+science+books%2Caps%2C421&sr=1-935,69.99
Haskell Data Analysis Cookbook,Nishant Shukla,Packt Publishing,,334,3179196,['3.7'],['9'],https://www.amazon.com/Haskell-Analysis-Cookbook-Nishant-Shukla/dp/1783286334/ref=sr_1_936?crid=2YD904R136ZW3&keywords=data+science+books&qid=1687798841&refinements=p_n_feature_browse-bin%3A2656022011&rnid=618072011&s=books&sprefix=data+science+books%2Caps%2C421&sr=1-936,24.53
Practical Time Series Forecasting with R: A Hands-On Guide [2nd Edition] (Practical Analytics),Galit Shmueli,Axelrod Schnall Publishers,,232,Null,['4.5'],['96'],https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo3OTQ0MDYzODc2NzcxMzE2OjE2ODc3OTg4NDE6c3BfYnRmOjIwMDA3MTM1NTAwNTE5ODo6MDo6&url=%2FPractical-Time-Forecasting-Hands-Analytics%2Fdp%2F0997847913%2Fref%3Dsr_1_937_sspa%3Fcrid%3D2YD904R136ZW3%26keywords%3Ddata%2Bscience%2Bbooks%26qid%3D1687798841%26refinements%3Dp_n_feature_browse-bin%253A2656022011%26rnid%3D618072011%26s%3Dbooks%26sprefix%3Ddata%2Bscience%2Bbooks%252Caps%252C421%26sr%3D1-937-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,29.90
Intelligent Document Processing with AWS AI/ML: A comprehensive guide to building IDP pipelines with applications across industries,Sonali Sahu,Packt Publishing,,246,1933272,['4.6'],['4'],https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo3OTQ0MDYzODc2NzcxMzE2OjE2ODc3OTg4NDE6c3BfYnRmOjIwMDEwMDQ3NDIzNjU5ODo6MDo6&url=%2FIntelligent-Document-Processing-AWS-comprehensive%2Fdp%2F1801810567%2Fref%3Dsr_1_938_sspa%3Fcrid%3D2YD904R136ZW3%26keywords%3Ddata%2Bscience%2Bbooks%26qid%3D1687798841%26refinements%3Dp_n_feature_browse-bin%253A2656022011%26rnid%3D618072011%26s%3Dbooks%26sprefix%3Ddata%2Bscience%2Bbooks%252Caps%252C421%26sr%3D1-938-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,39.99
"Big Data for Beginners: Book 1 - An Introduction to the Data Collection, Storage, Data Cleaning and Preprocessing",Brian Murray Brian Murray,Self Publication,,Null,228477,['5.0'],['32'],https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo3OTQ0MDYzODc2NzcxMzE2OjE2ODc3OTg4NDE6c3BfYnRmOjIwMDE2MzkxNDUxOTU5ODo6MDo6&url=%2FBig-Data-Beginners-Introduction-Preprocessing%2Fdp%2FB0C2RVJHL3%2Fref%3Dsr_1_939_sspa%3Fcrid%3D2YD904R136ZW3%26keywords%3Ddata%2Bscience%2Bbooks%26qid%3D1687798841%26refinements%3Dp_n_feature_browse-bin%253A2656022011%26rnid%3D618072011%26s%3Dbooks%26sprefix%3Ddata%2Bscience%2Bbooks%252Caps%252C421%26sr%3D1-939-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,14.95
Data Science with Julia,"Paul D. McNicholas,Peter Tait (Author)",Chapman and Hall/CRC,,240,2656091,['3.2'],['12'],https://www.amazon.com/Data-Science-Julia-Paul-McNicholas/dp/1138499986/ref=sr_1_937?crid=2YD904R136ZW3&keywords=data+science+books&qid=1687799046&refinements=p_n_feature_browse-bin%3A2656022011&rnid=618072011&s=books&sprefix=data+science+books%2Caps%2C421&sr=1-937,40.86
The Data Science Design Manual (Texts in Computer Science),Steve Skiena,Springer,,462,2658336,['4.8'],['76'],https://www.amazon.com/Science-Design-Manual-Texts-Computer/dp/3319856634/ref=sr_1_938?crid=2YD904R136ZW3&keywords=data+science+books&qid=1687799046&refinements=p_n_feature_browse-bin%3A2656022011&rnid=618072011&s=books&sprefix=data+science+books%2Caps%2C421&sr=1-938,54.75
Python Data Mining Quick Start Guide: A beginner's guide to extracting valuable insights from your data,Nathan Greeneltch,Packt Publishing,,188,2679335,['4.4'],['23'],https://www.amazon.com/Python-Mining-Quick-Start-Guide/dp/1789800269/ref=sr_1_939?crid=2YD904R136ZW3&keywords=data+science+books&qid=1687799046&refinements=p_n_feature_browse-bin%3A2656022011&rnid=618072011&s=books&sprefix=data+science+books%2Caps%2C421&sr=1-939,30.99
